rowNumber,timestamp,handle,productTitle,field,original,updated,reason,severity,phase
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Vendor,Bastelschachtel,,"Vendor set to Bastelschachtel, but product does not seem to be handmade. Please verify.",warn,2
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,SEO Title (suggested),Pinselset 6 teilig,Spitzige Pinsel Set 6teilig,Preview only (Validate Mode),info,3c
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,SEO Description (suggested),"6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.",Entdecken Sie unsere vielfältige Produktpalette für all Ihre kreativen Bedürfnisse. Entdecken Sie das Produkt 'Spitzige Pinsel Set,Preview only (Validate Mode),info,3c
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,farbsetsfurrost-undpatinaeffekt,farbsetsfurrost-undpatinaeffekt,Tag 'farbsetsfurrost-undpatinaeffekt' exceeds recommended length of 16 characters,warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,hibiskusblutenvonlisaz,hibiskusblutenvonlisaz,Tag 'hibiskusblutenvonlisaz' exceeds recommended length of 16 characters,warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,zubehorundwerkzeug,zubehorundwerkzeug,Tag 'zubehorundwerkzeug' exceeds recommended length of 16 characters,warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,acrylfarben,acrylfarben,Tag 'acrylfarben' does not align with product category 'uncategorized',warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,bastelbedarf,bastelbedarf,Tag 'bastelbedarf' does not align with product category 'uncategorized',warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,bastelfarben,bastelfarben,Tag 'bastelfarben' does not align with product category 'uncategorized',warn,3e
2,02/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,farben,farben,Tag 'farben' does not align with product category 'uncategorized',warn,3e
