Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Einsatzbereich (product.metafields.custom.einsatzbereich),Farbe (product.metafields.custom.farbe),Form (product.metafields.custom.form),Gewicht (product.metafields.custom.gewichtg),Größe (product.metafields.custom.grose),Handgemacht (product.metafields.custom.handgemacht),Lochzahl (product.metafields.custom.lochzahl),Flocken (product.metafields.custom.metallflocken),SetInhalt (product.metafields.custom.setinhalt1),Stückzahl (product.metafields.custom.stuckzahl),Stil & Effekt (product.metafields.custom.styl),Volumen (product.metafields.custom.volumenml),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Anzahl an Produktbewertungen (product.metafields.reviews.rating_count),Zubehörgröße (product.metafields.shopify.accessory-size),Altersgruppe (product.metafields.shopify.age-group),Kunst-/Bastelwerkzeugmaterial (product.metafields.shopify.art-crafting-tool-material),Barzubehör-Material (product.metafields.shopify.barware-material),Perlenform (product.metafields.shopify.bead-shape),Borstenmaterial (product.metafields.shopify.bristle-material),Oberflächenbehandlung der Leiwand (product.metafields.shopify.canvas-finish),Textur der Leinwand (product.metafields.shopify.canvas-texture),Farbe (product.metafields.shopify.color-pattern),Kochgeschirr-/Backgeschirrmaterial (product.metafields.shopify.cookware-bakeware-material),Art des Bastelprojekts (product.metafields.shopify.craft-project-type),Typ des kreativen Kunstprojekts (product.metafields.shopify.creative-art-project-type),Dekorationsmaterial (product.metafields.shopify.decoration-material),Schwierigkeitsgrad (product.metafields.shopify.difficulty-level),Spendertyp (product.metafields.shopify.dispenser-type),Inbegriffene Zeichen-/Mal-Setartikel (product.metafields.shopify.drawing-painting-kit-items-included),Verzierungs-/Besatzmaterial (product.metafields.shopify.embellishment-trim-material),Stoff (product.metafields.shopify.fabric),Finish (product.metafields.shopify.finish),Form des Schaums (product.metafields.shopify.foam-form),Genre (product.metafields.shopify.genre),Hakengröße (product.metafields.shopify.hook-size),Vorgesehene Anwendung (product.metafields.shopify.intended-application),Stil des Artikels (product.metafields.shopify.item-style),Art des Schmucksets (product.metafields.shopify.jewelry-set-type),Minengrad (product.metafields.shopify.lead-grade),Schnittholz-/Holzart (product.metafields.shopify.lumber-wood-type),Design der Markerspitze (product.metafields.shopify.marker-tip-design),Material (product.metafields.shopify.material),Pinseldesign (product.metafields.shopify.paint-brush-design),Form der Farbe (product.metafields.shopify.paint-form),Farbtyp (product.metafields.shopify.paint-type),Oberflächenbehandlung des Papiers (product.metafields.shopify.paper-finish),Format des Papiers (product.metafields.shopify.paper-format),Papierformat (product.metafields.shopify.paper-size),Textur des Papiers (product.metafields.shopify.paper-texture),Papiertyp (product.metafields.shopify.paper-type),Personalisierungsdesign (product.metafields.shopify.personalization-design),Puzzle-Typ (product.metafields.shopify.puzzle-type),Empfohlene Altersgruppe (product.metafields.shopify.recommended-age-group),Form (product.metafields.shopify.shape),Eignung für Bastelmaterial (product.metafields.shopify.suitable-for-crafting-material),Geeignet für diesen Materialtyp (product.metafields.shopify.suitable-for-material-type),Geeignete Umgebung (product.metafields.shopify.suitable-space),Zielgruppe (product.metafields.shopify.target-audience),Thema (product.metafields.shopify.theme),Dickentyp (product.metafields.shopify.thickness-type),Spielzeug/Spielmaterial (product.metafields.shopify.toy-game-material),Vasenform (product.metafields.shopify.vase-shape),Ergänzende Produkte (product.metafields.shopify--discovery--product_recommendation.complementary_products),Ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products),Einstellungen für ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products_display),Produktboosts suchen (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,"<p><span><span><span>Softe Pinsel für Acryl- und Wasserfarben.</span></span></span>
</p>
<ul>
<li><span><span><span>Größen: 2, 4, 6, 8, 10, 12, spitz</span></span></span></li>
<li><span><span><span>Qualitative Synthetik Pinsel, auch für Künstler geeignet</span></span></span></li>
<li><span><span><span>Leicht zu reinigen</span></span></span></li>
</ul>
<p> 
</p><!-- TABS --> <h5>PRODUKTBESCHREIBUNG</h5><span><span><span><span><span>Das 6-teilige Pinselset ist für alle wasserlöslichen Farben geeignet und kann mit Wasser gereinigt werden. Durch die flache Form können sowohl feine Linien als auch breitere Striche gemacht werden. Die höchst strapazierfähigen Pinsel nehmen die Farben sehr gut und dosiert auf, wodurch tropfen vermieden wird. Diese Serie ist für sämtliche Mal- und Basteltechniken geeignet. Für weitere Tipps und Bastelideen schauen Sie in unserem </span></span><span><a href=""https://www.bastelschachtel.at/blog-2""><span>Blog</span></a></span><span><span> vorbei. </span></span></span></span></span> <!-- /TABS -->",Bastelschachtel,Uncategorized,Bastelzubehör,"acrylfarben, bastelbedarf, bastelfarben, farben, Farbsets für Rost- und Patinaeffekt, Hibiskusblüten von Lisa Z., lasur, malen, pinsel, set, wasserverdünnbar, Zubehör und Werkzeug",TRUE,Title,Default Title,,,,,,,,18817,0,shopify,17,deny,manual,5.24,,TRUE,TRUE,11139997,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/spitzige-pinsel-set-6teilig-bastelschachtel-51182.jpg?v=1753709654,1,Spitzige Pinsel Set 6teilig - Bastelschachtel,FALSE,Pinselset 6 teilig,"6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.16,active
spitzige-pinsel-set-6teilig-818,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/spitzige-pinsel-set-6teilig-bastelschachtel-69583.jpg?v=1753709654,2,Spitzige Pinsel Set 6teilig - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentart-acrylfarbe-matt-50ml-schwarz-3317,Pentart Acrylfarbe matt 50ml - schwarz,"<p><span><span> <span>Wasserbasierende, matte Acrylfarbe von Pentart im Plastiktiegel</span></span> </span></p>
<ul>
<li><span><span><span>Schnelltrocknende, wasserbasierende Acrylfarbe mit hoher Deckkraft</span></span></span></li>
<li><span><span><span>Nach dem Trocknen ist die Farbe lichtecht, wasserfest, lackierbar. Die Farben sind untereinander mischbar</span></span></span></li>
<li><span><span><span>Auf verschiedensten Materialen wir Holz, Gips, Modelliermasse, Salzteig, Ton, Pappe, Styropor usw.</span></span></span></li>
<li><span><span><span>Die Farbe hat eine sehr gute Qualität, beste Farbe für BastlerInnen!</span></span></span></li>
</ul>
<!-- TABS -->
<h5>PRODUKTBESCHREIBUNG</h5>
<p> </p>
<p><span>Die Pentart matten Acrylfarben sind wasserlöslich und haben eine sehr gute Qualität. Nach dem Trocknen ist die Farbe wetterfest und wasserabweisend. Die Oberflächen haben eine schöne matte Oberfläche und die Farben kommen sehr gut zum Ausdruck. Wir sind von diesen Farben absolut begeistert und nutzen sie für all unsere Muster. Auf Holz reicht oft schon ein Anstrich aus. Auch als Untergrund für Serviettentechnik eignet sich diese Farbe. Sie sehen mit dieser Acrylfarbe erhalten Sie ein tolles Produkt, das vielseitig einsetzbar ist. Wir möchten beim Basteln nicht mehr darauf verzichten. <span data-mce-fragment=""1"">Suchwörter: pentart acrylic paint</span></span></p>
<p>  </p>
<!-- /TABS -->",Pentart,,Acrylfarben,"acrylfarbe, matt, pentart",TRUE,Title,Default Title,,,,,,,,1119,0,shopify,17,deny,manual,3.25,,TRUE,TRUE,5997412766554,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-acrylfarbe-matt-50ml-schwarz-bastelschachtel-29347.jpg?v=1753712060,1,Pentart Acrylfarbe matt 50ml - schwarz - Bastelschachtel,FALSE,Acrylfarbe matt 50ml - schwarz,"Matte Acrylfarbe, wasserverdünnbar, nach dem Trocknen wetterfest.",,,,,,,,,,,,,,,,,,,,,,,50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pentart-acrylfarbe-matt-50ml-schwarz-3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-acrylfarbe-matt-50ml-schwarz-bastelschachtel-27418.jpg?v=1753712060,2,Pentart Acrylfarbe matt 50ml - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentart-acrylfarbe-matt-50ml-schwarz-3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-acrylfarbe-matt-50ml-schwarz-bastelschachtel-93070.jpg?v=1753712060,3,Pentart Acrylfarbe matt 50ml - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentart-acrylfarbe-matt-50ml-schwarz-3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-acrylfarbe-matt-50ml-schwarz-bastelschachtel-66809.jpg?v=1753712060,4,Pentart Acrylfarbe matt 50ml - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pentart-acrylfarbe-matt-50ml-schwarz-3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-acrylfarbe-matt-50ml-schwarz-bastelschachtel-35756.jpg?v=1753712060,5,Pentart Acrylfarbe matt 50ml - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konturenfarben-universell-blei-3795,Default Title,"<span><span><span></span></span></span>
<p><font color=""#8b4513"" face=""verdana, geneva, sans-serif""><span>Universale Konturenfarbe von Pentart 20ml</span></font>
</p>
<ul amazon="""" class=""a-unordered-list a-vertical a-spacing-none"">
<li><span><span><span><span class=""a-list-item"">Bleibt nach dem Auftragen erhaben</span></span></span></span></li>
<li><span><span><span><span class=""a-list-item"">Ideal zur Gestaltung von 3D-Dekorationen</span></span></span></span></li>
<li><span><span><span><span class=""a-list-item"">Einfaches Malen direkt aus der Tube durch praktische Kunststoff-Düse</span></span></span></span></li>
<li><span><span><span><span class=""a-list-item"">Auf verschiedensten Materialen wie Glas, Plastik, Holz, Gips, Modelliermasse, Salzteig, Ton, Pappe, Styropor usw. verwendbar</span></span></span></span></li>
</ul>
<span><span><span></span></span></span><!-- TABS -->
<h5>PRODUKTBESCHREIBUNG</h5>
<p><span> <span> <span></span></span></span><span><span><span><span>Diese Pentart Konturenfarbe ist eine universelle, dickflüssige Farbe auf Wasserbasis zum Umranden, Unterstreichen von Motivkonturen oder zur Gestaltung von 3D-Dekorationen auf jeder Oberfläche. Gut geeignet auch zur Glasmalerei vor allem zu Weihnachten.</span><span color=""#8b4513""> Wir benutzen die Konturenfarbe auch bei Scrapbook und Papierarbeiten. Mit der feinen Düse können Sie schreiben und nette Details auftragen. Als Finish bei andere Bastelarbeiten ist diese Konturenfarbe unschlagbar. Egal ob Punkte, kleine Schmetterlinge oder sogar kleine Autos, mit etwas Geschick können Sie mit diesen Farben alles aufmalen. Genießen Sie die Vorteile der Konturenfarbe und bestellen Sie sie gleich im Vorrat! Suchwörter: konturfarbe, contour liner, glasmalerei</span><span color=""#8b4513"" size=""2""></span></span></span></span></p>
<p>      </p>
 
<p> </p>
<!-- /TABS -->",Pentart,"Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Craft Paint, Ink & Glaze > Art & Craft Paint",Acrylfarben,"Glasfarben, konturfarbe, pentart",TRUE,Title,Default Title,,,,,,,,2463,0,shopify,4,deny,manual,4.45,,TRUE,TRUE,5997412710588,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-konturenfarbe-universell-schwarz-bastelschachtel-44100.jpg?v=1753713637,1,Pentart Konturenfarbe universell - schwarz - Bastelschachtel,FALSE,Pentart Konturenfarben universell - schwarz,,505417,,,,,,,,,,,,,,,,,,,,,,20ml,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
konturenfarben-universell-blei-3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-konturenfarbe-universell-schwarz-bastelschachtel-56712.jpg?v=1753713637,2,Pentart Konturenfarbe universell - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konturenfarben-universell-blei-3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/pentart-konturenfarbe-universell-schwarz-bastelschachtel-99478.jpg?v=1753713637,3,Pentart Konturenfarbe universell - schwarz - Bastelschachtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
