rowNumber,timestamp,handle,productTitle,field,original,updated,reason,severity,phase
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Vendor,Bastelschachtel,,"Vendor set to Bastelschachtel, but product does not seem to be handmade. Please verify.",warn,2
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Body (HTML),"<p><span><span><span>Softe Pinsel für Acryl- und Wasserfarben.</span></span></span>
</p>
<ul>
<li><span><span><span>Größen: 2, 4, 6, 8, 10, 12, spitz</span></span></span></li>
<li><span><span><span>Qualitative Synthetik Pinsel, auch für Künstler geeignet</span></span></span></li>
<li><span><span><span>Leicht zu reinigen</span></span></span></li>
</ul>
<p> 
</p><!-- TABS --> <h5>PRODUKTBESCHREIBUNG</h5><span><span><span><span><span>Das 6-teilige Pinselset ist für alle wasserlöslichen Farben geeignet und kann mit Wasser gereinigt werden. Durch die flache Form können sowohl feine Linien als auch breitere Striche gemacht werden. Die höchst strapazierfähigen Pinsel nehmen die Farben sehr gut und dosiert auf, wodurch tropfen vermieden wird. Diese Serie ist für sämtliche Mal- und Basteltechniken geeignet. Für weitere Tipps und Bastelideen schauen Sie in unserem </span></span><span><a href=""https://www.bastelschachtel.at/blog-2""><span>Blog</span></a></span><span><span> vorbei. </span></span></span></span></span> <!-- /TABS -->","<p><link rel=""canonical"" href=""https://bastelschachtel.at/products/spitzige-pinsel-set-6teilig-818""></p><p><meta name=""description"" content=""6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.""></p><p><meta property=""og:type"" content=""product""></p><p><meta property=""og:title"" content=""Pinselset 6 teilig""></p><p><meta property=""og:description"" content=""6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.""></p><p><meta property=""og:url"" content=""https://bastelschachtel.at/products/spitzige-pinsel-set-6teilig-818""></p><p><meta property=""og:image"" content=""https://cdn.shopify.com/s/files/1/0422/5397/5709/products/spitzige-pinsel-set-6teilig-bastelschachtel-51182.jpg?v=1753709654""></p><p><meta property=""og:image:alt"" content=""Pinselset 6 teilig – Produktbild""></p><p><meta property=""og:image:width"" content=""1200""></p><p><meta property=""og:image:height"" content=""1200""></p><p><meta name=""twitter:card"" content=""summary_large_image""></p><p><meta name=""twitter:title"" content=""Pinselset 6 teilig""></p><p><meta name=""twitter:description"" content=""6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.""></p><p><meta name=""twitter:image"" content=""https://cdn.shopify.com/s/files/1/0422/5397/5709/products/spitzige-pinsel-set-6teilig-bastelschachtel-51182.jpg?v=1753709654""></p><p><span><span><span>Softe Pinsel für Acryl- und Wasserfarben.</span></span></span>
</p>
<ul>
<li><span><span><span>Größen: 2, 4, 6, 8, 10, 12, spitz</span></span></span></li>
<li><span><span><span>Qualitative Synthetik Pinsel, auch für Künstler geeignet</span></span></span></li>
<li><span><span><span>Leicht zu reinigen</span></span></span></li>
</ul>
 <h5>PRODUKTBESCHREIBUNG</h5><span><span><span><span><span>Das 6-teilige Pinselset ist für alle wasserlöslichen Farben geeignet und kann mit Wasser gereinigt werden. Durch die flache Form können sowohl feine Linien als auch breitere Striche gemacht werden. Die höchst strapazierfähigen Pinsel nehmen die Farben sehr gut und dosiert auf, wodurch tropfen vermieden wird. Diese Serie ist für sämtliche Mal- und Basteltechniken geeignet. Für weitere Tipps und Bastelideen schauen Sie in unserem </span></span><span><a href=""https://www.bastelschachtel.at/blog-2""><span>Blog</span></a></span><span><span> vorbei. </span></span></span></span></span>",Body preserved - high quality existing content.,info,3b
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,SEO Title (suggested),Pinselset 6 teilig,Spitzige Pinsel Set 6teilig,Preview only (Validate Mode),info,3c
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,SEO Description (suggested),"6 Pinsel mit rundem Kopf, zum Malen und Zeichnen.",Entdecken Sie unsere vielfältige Produktpalette für all Ihre kreativen Bedürfnisse. Entdecken Sie das Produkt 'Spitzige Pinsel Set,Preview only (Validate Mode),info,3c
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,farbsetsfurrost-undpatinaeffekt,farbsetsfurrost-undpatinaeffekt,Tag 'farbsetsfurrost-undpatinaeffekt' exceeds recommended length of 16 characters,warn,3e
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,hibiskusblutenvonlisaz,hibiskusblutenvonlisaz,Tag 'hibiskusblutenvonlisaz' exceeds recommended length of 16 characters,warn,3e
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,zubehorundwerkzeug,zubehorundwerkzeug,Tag 'zubehorundwerkzeug' exceeds recommended length of 16 characters,warn,3e
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,acrylfarben,acrylfarben,Tag 'acrylfarben' does not align with product category 'uncategorized',warn,3e
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,bastelbedarf,bastelbedarf,Tag 'bastelbedarf' does not align with product category 'uncategorized',warn,3e
2,03/10/2025,spitzige-pinsel-set-6teilig-818,Spitzige Pinsel Set 6teilig,Tags,bastelfarben,bastelfarben,Tag 'bastelfarben' does not align with product category 'uncategorized',warn,3e
